Time(Seconds), RemainingCapacity(Ah) 
0.0, 1.5464555025100708
1.0, 1.5464555025100708
2.0, 1.5464555025100708
3.0, 1.5464555025100708
4.0, 1.5464555025100708
5.0, 1.5464555025100708
6.0, 1.5464555025100708
7.0, 1.5464555025100708
8.0, 1.5464555025100708
9.0, 1.5464555025100708
10.0, 1.5464555025100708
11.0, 1.5464555025100708
12.0, 1.5464555025100708
13.0, 1.5464555025100708
14.0, 1.5464555025100708
15.0, 1.5464555025100708
16.0, 1.5464555025100708
17.0, 1.5464555025100708
18.0, 1.5464555025100708
19.0, 1.5464555025100708
20.0, 1.5464555025100708
21.0, 1.5464555025100708
22.0, 1.5464555025100708
23.0, 1.5464555025100708
24.0, 1.5464555025100708
25.0, 1.5464555025100708
26.0, 1.5464555025100708
27.0, 1.5464555025100708
28.0, 1.5464555025100708
29.0, 1.5464555025100708
30.0, 1.5464555025100708
31.0, 1.5464555025100708
32.0, 1.5464555025100708
33.0, 1.5464555025100708
34.0, 1.5464555025100708
35.0, 1.5464555025100708
36.0, 1.5464555025100708
37.0, 1.5464555025100708
38.0, 1.5464555025100708
39.0, 1.5464555025100708
40.0, 1.5464555025100708
41.0, 1.5464555025100708
42.0, 1.5464555025100708
43.0, 1.5464555025100708
44.0, 1.5464555025100708
45.0, 1.5464555025100708
46.0, 1.5464555025100708
47.0, 1.5464555025100708
48.0, 1.5464555025100708
49.0, 1.5464555025100708
50.0, 1.5464555025100708
51.0, 1.5464555025100708
52.0, 1.5464555025100708
53.0, 1.5464555025100708
54.0, 1.5464555025100708
55.0, 1.5464555025100708
56.0, 1.5464555025100708
57.0, 1.5464555025100708
58.0, 1.5464555025100708
59.0, 1.5464555025100708
60.0, 1.5464555025100708
61.0, 1.5464555025100708
62.0, 1.5464555025100708
63.0, 1.5464555025100708
64.0, 1.5464555025100708
65.0, 1.5464555025100708
66.0, 1.5464555025100708
67.0, 1.5464555025100708
68.0, 1.5464555025100708
69.0, 1.5464555025100708
70.0, 1.5464555025100708
71.0, 1.5464555025100708
72.0, 1.5464555025100708
73.0, 1.5464555025100708
74.0, 1.5464555025100708
75.0, 1.5464555025100708
76.0, 1.5464555025100708
77.0, 1.5464555025100708
78.0, 1.5464555025100708
79.0, 1.5464555025100708
80.0, 1.5464555025100708
81.0, 1.5464555025100708
82.0, 1.5464555025100708
83.0, 1.5464555025100708
84.0, 1.5464555025100708
85.0, 1.5464555025100708
86.0, 1.5464555025100708
87.0, 1.5464555025100708
88.0, 1.5464555025100708
89.0, 1.5464555025100708
90.0, 1.5464555025100708
91.0, 1.5464555025100708
92.0, 1.5464555025100708
93.0, 1.5464555025100708
94.0, 1.5464555025100708
95.0, 1.5464555025100708
96.0, 1.5464555025100708
97.0, 1.5464555025100708
98.0, 1.5464555025100708
99.0, 1.5464555025100708
100.0, 1.5464555025100708
