Time(Seconds), RemainingCapacity(Ah) 
0.0, 1.5483641624450684
1.0, 1.5483641624450684
2.0, 1.5483641624450684
3.0, 1.5483641624450684
4.0, 1.5483641624450684
5.0, 1.5483641624450684
6.0, 1.5483641624450684
7.0, 1.5483641624450684
8.0, 1.5483641624450684
9.0, 1.5483641624450684
10.0, 1.5483641624450684
11.0, 1.5483641624450684
12.0, 1.5483641624450684
13.0, 1.5483641624450684
14.0, 1.5483641624450684
15.0, 1.5483641624450684
16.0, 1.5483641624450684
17.0, 1.5483641624450684
18.0, 1.5483641624450684
19.0, 1.5483641624450684
20.0, 1.5483641624450684
21.0, 1.5483641624450684
22.0, 1.5483641624450684
23.0, 1.5483641624450684
24.0, 1.5483641624450684
25.0, 1.5483641624450684
26.0, 1.5483641624450684
27.0, 1.5483641624450684
28.0, 1.5483641624450684
29.0, 1.5483641624450684
30.0, 1.5483641624450684
31.0, 1.5483641624450684
32.0, 1.5483641624450684
33.0, 1.5483641624450684
34.0, 1.5483641624450684
35.0, 1.5483641624450684
36.0, 1.5483641624450684
37.0, 1.5483641624450684
38.0, 1.5483641624450684
39.0, 1.5483641624450684
40.0, 1.5483641624450684
41.0, 1.5483641624450684
42.0, 1.5483641624450684
43.0, 1.5483641624450684
44.0, 1.5483641624450684
45.0, 1.5483641624450684
46.0, 1.5483641624450684
47.0, 1.5483641624450684
48.0, 1.5483641624450684
49.0, 1.5483641624450684
50.0, 1.5483641624450684
51.0, 1.5483641624450684
52.0, 1.5483641624450684
53.0, 1.5483641624450684
54.0, 1.5483641624450684
55.0, 1.5483641624450684
56.0, 1.5483641624450684
57.0, 1.5483641624450684
58.0, 1.5483641624450684
59.0, 1.5483641624450684
60.0, 1.5483641624450684
61.0, 1.5483641624450684
62.0, 1.5483641624450684
63.0, 1.5483641624450684
64.0, 1.5483641624450684
65.0, 1.5483641624450684
66.0, 1.5483641624450684
67.0, 1.5483641624450684
68.0, 1.5483641624450684
69.0, 1.5483641624450684
70.0, 1.5483641624450684
71.0, 1.5483641624450684
72.0, 1.5483641624450684
73.0, 1.5483641624450684
74.0, 1.5483641624450684
75.0, 1.5483641624450684
76.0, 1.5483641624450684
77.0, 1.5483641624450684
78.0, 1.5483641624450684
79.0, 1.5483641624450684
80.0, 1.5483641624450684
81.0, 1.5483641624450684
82.0, 1.5483641624450684
83.0, 1.5483641624450684
84.0, 1.5483641624450684
85.0, 1.5483641624450684
86.0, 1.5483641624450684
87.0, 1.5483641624450684
88.0, 1.5483641624450684
89.0, 1.5483641624450684
90.0, 1.5483641624450684
91.0, 1.5483641624450684
92.0, 1.5483641624450684
93.0, 1.5483641624450684
94.0, 1.5483641624450684
95.0, 1.5483641624450684
96.0, 1.5483641624450684
97.0, 1.5483641624450684
98.0, 1.5483641624450684
99.0, 1.5483641624450684
100.0, 1.5483641624450684
