Time(Seconds), RemainingCapacity(Ah) 
0.0, 1.8037196397781372
1.0, 1.8037196397781372
2.0, 1.8037196397781372
3.0, 1.8037196397781372
4.0, 1.8037196397781372
5.0, 1.8037196397781372
6.0, 1.8037196397781372
7.0, 1.8037196397781372
8.0, 1.8037196397781372
9.0, 1.8037196397781372
10.0, 1.8037196397781372
11.0, 1.8037196397781372
12.0, 1.8037196397781372
13.0, 1.8037196397781372
14.0, 1.8037196397781372
15.0, 1.8037196397781372
16.0, 1.8037196397781372
17.0, 1.8037196397781372
18.0, 1.8037196397781372
19.0, 1.8037196397781372
20.0, 1.8037196397781372
21.0, 1.8037196397781372
22.0, 1.8037196397781372
23.0, 1.8037196397781372
24.0, 1.8037196397781372
25.0, 1.8037196397781372
26.0, 1.8037196397781372
27.0, 1.8037196397781372
28.0, 1.8037196397781372
29.0, 1.8037196397781372
30.0, 1.8037196397781372
31.0, 1.8037196397781372
32.0, 1.8037196397781372
33.0, 1.8037196397781372
34.0, 1.8037196397781372
35.0, 1.8037196397781372
36.0, 1.8037196397781372
37.0, 1.8037196397781372
38.0, 1.8037196397781372
39.0, 1.8037196397781372
40.0, 1.8037196397781372
41.0, 1.8037196397781372
42.0, 1.8037196397781372
43.0, 1.8037196397781372
44.0, 1.8037196397781372
45.0, 1.8037196397781372
46.0, 1.8037196397781372
47.0, 1.8037196397781372
48.0, 1.8037196397781372
49.0, 1.8037196397781372
50.0, 1.8037196397781372
51.0, 1.8037196397781372
52.0, 1.8037196397781372
53.0, 1.8037196397781372
54.0, 1.8037196397781372
55.0, 1.8037196397781372
56.0, 1.8037196397781372
57.0, 1.8037196397781372
58.0, 1.8037196397781372
59.0, 1.8037196397781372
60.0, 1.8037196397781372
61.0, 1.8037196397781372
62.0, 1.8037196397781372
63.0, 1.8037196397781372
64.0, 1.8037196397781372
65.0, 1.8037196397781372
66.0, 1.8037196397781372
67.0, 1.8037196397781372
68.0, 1.8037196397781372
69.0, 1.8037196397781372
70.0, 1.8037196397781372
71.0, 1.8037196397781372
72.0, 1.8037196397781372
73.0, 1.8037196397781372
74.0, 1.8037196397781372
75.0, 1.8037196397781372
76.0, 1.8037196397781372
77.0, 1.8037196397781372
78.0, 1.8037196397781372
79.0, 1.8037196397781372
80.0, 1.8037196397781372
81.0, 1.8037196397781372
82.0, 1.8037196397781372
83.0, 1.8037196397781372
84.0, 1.8037196397781372
85.0, 1.8037196397781372
86.0, 1.8037196397781372
87.0, 1.8037196397781372
88.0, 1.8037196397781372
89.0, 1.8037196397781372
90.0, 1.8037196397781372
91.0, 1.8037196397781372
92.0, 1.8037196397781372
93.0, 1.8037196397781372
94.0, 1.8037196397781372
95.0, 1.8037196397781372
96.0, 1.8037196397781372
97.0, 1.8037196397781372
98.0, 1.8037196397781372
99.0, 1.8037196397781372
100.0, 1.8037196397781372
